gammarus,sex,inf_status,temp,blank_ref,blanks,gam_dryweight_mg,saturation,volume_liter,change_percent,time_h,resp_rate,assimilation,filter_id,leaf_id,filter_dw_initial,filter_dw_final,poop_weight,efficiency,init_wet_gam,leaf_change,av_leafdecay,dryweight_mg,wet_gam,weight_change,days_inexpt,rate,feeding_rate
03UL,f,U,3,03BLANK3_1,-1.088406997,2.9,13.295,0.0068,0.01,0.44,0.019104441,0.136245051,3UL,034A,36.18,32.9,0.83,74.65251376,0.0165,3.29,0.06612,2.9,0.02,0.0012,10,0.00012,0.208096799
03UO,f,U,3,03BLANK2_1,1.115580451,2.5,13.295,0.0086,0.01,0.44,0.002418193,0.085256913,3UO,027E,29.81,28.24,0.37,76.25798212,0.0172,1.57,0.06612,2.5,0.02,-0.0005,10,-0.00005,0.114971709
06UA,f,U,6,06_BLANK3_1,1.169671089,3,12.362,0.005,0.02,0.44,0.010835123,0.36861928,6UA,014B,36.32,29.45,0.66,90.35811067,0.0151,6.86,0.06262,3,0.01,-0.0003,9,-3.33333E-05,0.419945039
06UC,m,U,6,06_BLANK1_1,1.515002553,3,12.362,0.007,0.03,0.44,0.017571175,0.579944761,6UC,009F,45.99,35.79,0.43,95.77706513,0.0174,10.2,0.06262,3,0.02,0.0026,9,0.000288889,0.623861188
06UD,f,U,6,06_BLANK3_1,1.169671089,1.3,12.362,0.0058,0.02,0.44,0.024040115,1.198416683,6UD,049E,45.44,36.39,0.39,95.68446296,0.0101,9.05,0.06262,1.3,0.01,-0.0021,9,-0.000233333,1.277591743
06UF,m,U,6,06_BLANK4_1,0.453948852,3.6,12.362,0.0052,0.02,0.44,0.007277789,0.352221434,6UF,042C,33.66,25.74,0.86,89.13018746,0.0173,7.91,0.06262,3.6,0.02,0.0044,9,0.000488889,0.40334171
06UH,f,U,6,06_BLANK2_1,1.940741053,4.8,12.362,0.0054,0.03,0.44,0.007972364,0.243916042,6UH,011E,43.53,36.42,0.52,92.64046129,0.0179,7.11,0.06262,4.8,0.02,0.0011,9,0.000122222,0.271898913
06UJ,m,U,6,06_BLANK1_1,1.515002553,4.7,12.362,0.006,0.04,0.44,0.012965484,0.278703536,6UJ,012E,46.19,37.79,0.94,88.85266965,0.0199,8.41,0.06262,4.7,0.02,0.0031,9,0.000344444,0.328261404
06UK,m,U,6,06_BLANK2_1,1.940741053,5.5,12.362,0.0048,0.04,0.44,0.00734221,0.247448945,6UK,009B,37.53,29.78,0.12,98.48432078,0.0196,7.75,0.06262,5.5,0.02,0.0014,9,0.000155556,0.258712405
06UO,f,U,6,06_BLANK2_1,1.940741053,3.7,12.362,0.006,0.04,0.44,0.015486652,0.292203294,6UO,049B,42.71,36.25,0.25,96.07342007,0.0198,6.46,0.06262,3.7,0.02,0.0005,9,5.55556E-05,0.320265424
09UA,m,U,9,09_blank_4,1.901989487,4.8,11.726,0.0082,0.04,0.44,0.022350853,0.190323523,27UA,054B,39.23,32.8,0.87,86.51898636,0.0191,6.43,0.06654,4.8,0.02,0.0005,8,0.0000625,0.245812376
09UC,m,U,9,09_blank_3,3.407731164,3.2,11.726,0.0072,0.05,0.44,0.025980545,0.347809228,27UC,011B,32.09,25.26,0.31,95.48838027,0.013,6.82,0.06654,3.2,0.01,0.0016,8,0.0002,0.391450533
09UD,m,U,9,09_blank_3,3.407731164,3.7,11.726,0.0064,0.05,0.44,0.017248828,0.06045525,27UD,003B,34.81,32.68,0.57,73.48815388,0.0177,2.13,0.06654,3.7,0.02,0.0008,8,0.0001,0.105736875
09UE,f,U,9,09_blank_1,1.85443975,3.1,11.726,0.0074,0.02,0.44,0.011983301,0.487141993,27UE,004A,53.7,44.89,0.38,95.67798245,0.0163,8.81,0.06654,3.1,0.02,0.0012,8,0.00015,0.521672051
09UF,m,U,9,09_blank_1,1.85443975,4.9,11.726,0.007,0.05,0.44,0.021743088,0.215287856,27UF,046H,47.14,40.3,0.51,92.55364273,0.0198,6.84,0.06654,4.9,0.02,0.0034,8,0.000425,0.25610115
09UG,m,U,9,09_blank_3,3.407731164,1.9,11.726,0.0084,0.02,0.44,0.014194535,0.215885168,27UG,050A,38.24,35.28,0.58,80.49003042,0.0121,2.96,0.06654,1.9,0.01,0.001,8,0.000125,0.285848697
09UL,m,U,9,09_blank_2,3.698312891,3.8,11.726,0.0072,0.04,0.44,0.015875981,0.185533341,27UL,057A,38.69,33.63,0.89,82.44458944,0.0196,5.06,0.06654,3.8,0.02,-0.002,8,-0.00025,0.244296592
09UM,m,U,9,09_blank_3,3.407731164,4.5,11.726,0.0068,0.05,0.44,0.016857042,0.089518341,27UM,037C,36.51,33.15,0.76,77.52444933,0.0199,3.36,0.06654,4.5,0.03,0.0078,8,0.000975,0.137215271
09UN,f,U,9,09_blank_1,1.85443975,4.5,11.726,0.0068,0.08,0.44,0.037428908,0.250031243,27UN,035A,45.17,37.62,0.5,93.33827775,0.0198,7.55,0.06654,4.5,0.02,0.0034,8,0.000425,0.307976703
09UO,f,U,9,09_blank_2,3.698312891,2.9,11.726,0.0076,0.03,0.44,0.007378407,0.355336837,27UO,007D,44.45,37.72,1.01,85.06330617,0.0148,6.74,0.06654,2.9,0.01,-2.08167E-17,8,-2.60209E-18,0.426406239
12UB,f,U,12,12_blank2_1,2.204842303,2.5,10.755,0.0062,0.06,0.44,0.039142008,1.194793963,21UB,047E,47.62,30.11,0.7,95.98014917,0.01,17.51,0.08018,2.5,0.01,0.0028,7,0.0004,1.285615809
12UE,m,U,12,12_blank1_1,0.969161452,4.3,10.755,0.007,0.06,0.44,0.030664874,0.481489519,21UE,006G,47.5,33.45,2.04,85.44580544,0.0154,14.04,0.08018,4.3,0.02,0.0008,7,0.000114286,0.599390913
12UF,m,U,12,12_blank1_1,0.969161452,3,10.755,0.007,0.03,0.44,0.018512498,0.521166336,21UF,065A,42.03,32.84,0.37,95.94917983,0.0154,9.19,0.08018,3,0.02,0.0027,7,0.000385714,0.562463207
12UH,f,U,12,12_blank3_1,1.085460826,3,10.755,0.0054,0.01,0.05,0.038959065,0.233394281,21UH,041D,32.05,26.59,1,81.66691128,0.0123,5.45,0.08018,3,0.01,0.0006,7,8.57143E-05,0.333492894
