,gam_id,temp,sex,inf_status,geo_order,photo_order,geo_score,photo_score
254,jI54,6,f,I,,,12,20
255,jI54,9,f,I,1,1,22,50
256,jI54,12,f,I,,,16,30
257,jI54,15,f,I,,,10,10
258,jI54,18,f,I,,,10,20
259,jI55,6,m,I,1,1,19,30
260,jI55,9,m,I,,,10,80
261,jI55,12,m,I,,,18,20
266,jI56,15,m,I,,,#N/A,70
262,jI56,3,m,I,,,15,60
263,jI56,6,m,I,1,1,12,70
264,jI56,9,m,I,,,35,60
265,jI56,12,m,I,,,11,#N/A
267,jI56,18,m,I,,,23,50
272,jI57,15,f,I,,,#N/A,100
268,jI57,3,f,I,,,21,30
269,jI57,6,f,I,1,1,24,10
270,jI57,9,f,I,,,28,40
271,jI57,12,f,I,,,20,50
1594,jI58,6,m,I,,,#N/A,0
273,jI59,3,m,I,1,1,12,40
274,jI59,6,m,I,,,10,40
275,jI59,9,m,I,,,10,60
276,jI59,12,m,I,,,12,20
277,jI59,15,m,I,,,10,50
278,jI59,18,m,I,,,10,0
280,jI6,12,f,I,,,#N/A,10
279,jI6,6,f,I,1,1,10,40
281,jI60,3,m,I,,,10,50
282,jI60,6,m,I,1,1,25,60
283,jI60,9,m,I,,,19,50
284,jI60,12,m,I,,,19,80
285,jI60,15,m,I,,,51,70
286,jI60,18,m,I,,,22,50
287,jI61,3,f,I,1,1,15,20
288,jI61,6,f,I,,,19,0
289,jI61,9,f,I,,,31,70
290,jI61,12,f,I,,,16,30
291,jI61,15,f,I,,,13,70
292,jI61,18,f,I,,,24,40
293,jI63,3,f,I,,,10,#N/A
294,jI63,6,f,I,,,10,0
295,jI63,9,f,I,,,19,100
296,jI63,12,f,I,1,1,24,20
297,jI64,3,f,I,,,11,60
298,jI64,6,f,I,,,17,70
299,jI64,9,f,I,,,11,20
300,jI64,12,f,I,,,16,50
301,jI64,15,f,I,,,15,80
302,jI64,18,f,I,1,1,24,60
307,jI65,15,m,I,1,1,#N/A,0
303,jI65,3,m,I,,,26,0
304,jI65,6,m,I,1,1,30,50
305,jI65,9,m,I,,,17,60
306,jI65,12,m,I,,,14,90
308,jI66,6,m,I,,,29,10
309,jI66,12,m,I,1,1,22,40
310,jI67,3,f,I,,,10,20
311,jI67,6,f,I,,,20,10
312,jI67,9,f,I,,,12,#N/A
313,jI67,12,f,I,,,25,40
314,jI67,15,f,I,,,21,60
315,jI67,18,f,I,1,1,57,50
316,jI68,3,m,I,,,13,60
317,jI68,6,m,I,,,11,60
318,jI68,9,m,I,,,15,60
319,jI68,12,m,I,1,1,14,50
320,jI68,15,m,I,,,10,90
321,jI68,18,m,I,,,36,90
322,jI69,3,m,I,,,20,80
323,jI69,6,m,I,1,1,15,0
324,jI69,9,m,I,,,13,70
325,jI69,12,m,I,,,19,70
326,jI69,15,m,I,,,14,60
327,jI69,18,m,I,,,37,70
333,jI7,18,m,I,,,#N/A,70
328,jI7,3,m,I,,,15,40
329,jI7,6,m,I,,,23,10
330,jI7,9,m,I,,,13,30
331,jI7,12,m,I,,,10,40
332,jI7,15,m,I,1,1,22,20
334,jI70,3,f,I,,,19,60
335,jI70,6,f,I,,,48,30
336,jI70,9,f,I,,,20,50
337,jI70,12,f,I,,,22,60
338,jI70,15,f,I,,,31,20
339,jI70,18,f,I,1,1,17,60
340,jI71,3,f,I,,,18,0
341,jI71,6,f,I,1,1,19,60
342,jI71,9,f,I,,,12,20
343,jI71,12,f,I,,,25,60
344,jI71,15,f,I,,,27,10
349,jI72,15,f,I,,,#N/A,0
345,jI72,3,f,I,1,1,27,70
346,jI72,6,f,I,,,10,80
347,jI72,9,f,I,,,14,70
348,jI72,12,f,I,,,10,20
350,jI73,6,m,I,1,1,41,10
351,jI75,3,m,I,,,11,50
352,jI75,6,m,I,,,11,0
353,jI75,9,m,I,,,13,60
354,jI75,12,m,I,,,12,60
355,jI75,15,m,I,,,11,20
356,jI75,18,m,I,1,1,13,80
357,jI8,3,m,I,,,46,60
358,jI8,6,m,I,,,18,0
359,jI8,9,m,I,,,23,70
360,jI8,12,m,I,,,13,50
361,jI8,15,m,I,1,1,27,40
362,jI8,18,m,I,,,80,10
363,jI85,6,m,I,,,17,100
364,jI85,12,m,I,1,1,25,0
365,jI9,3,m,I,,,20,30
366,jI9,6,m,I,,,55,30
367,jI9,9,m,I,,,42,0
368,jI9,12,m,I,,,41,60
369,jI9,15,m,I,1,1,74,30
370,jI9,18,m,I,,,31,40
372,jU100,9,f,U,,,#N/A,80
371,jU100,6,f,U,1,1,10,70
373,jU100,12,f,U,,,,80
378,jU101,15,f,U,,,#N/A,40
374,jU101,3,f,U,,,10,80
375,jU101,6,f,U,,,11,30
376,jU101,9,f,U,,,10,30
377,jU101,12,f,U,1,1,10,70
379,jU102,3,f,U,,,28,50
380,jU102,6,f,U,,,27,0
381,jU102,9,f,U,,,35,60
382,jU102,12,f,U,,,17,80
383,jU102,15,f,U,1,1,16,40
384,jU102,18,f,U,,,15,30
385,jU103,6,m,U,,,10,0
386,jU103,9,m,U,,,10,30
387,jU103,12,m,U,1,1,10,70
388,jU104,6,f,U,,,18,30
389,jU104,9,f,U,1,1,10,#N/A
390,jU104,12,f,U,,,17,70
392,jU105,12,f,U,,,#N/A,50
391,jU105,6,f,U,1,1,19,10
393,jU106,3,m,U,,,18,20
394,jU106,6,m,U,,,10,40
395,jU106,9,m,U,,,22,70
396,jU106,12,m,U,1,1,17,60
397,jU106,15,m,U,,,18,60
398,jU106,18,m,U,,,13,50
399,jU107,3,f,U,,,11,50
400,jU107,6,f,U,1,1,20,40
401,jU107,9,f,U,,,18,30
402,jU107,12,f,U,,,15,30
403,jU107,15,f,U,,,15,40
404,jU107,18,f,U,,,16,40
409,jU108,15,m,U,,,#N/A,0
405,jU108,3,m,U,,,10,60
406,jU108,6,m,U,,,22,60
407,jU108,9,m,U,1,1,23,50
408,jU108,12,m,U,,,23,40
410,jU109,6,m,U,1,1,10,30
411,jU109,9,m,U,,,10,100
412,jU109,12,m,U,,,10,10
413,jU110,3,f,U,1,1,16,50
414,jU110,6,f,U,,,10,60
415,jU110,9,f,U,,,11,60
416,jU110,12,f,U,,,12,40
417,jU110,15,f,U,,,14,60
418,jU110,18,f,U,,,10,90
424,jU111,18,f,U,,,#N/A,20
419,jU111,3,f,U,,,10,50
420,jU111,6,f,U,1,1,10,0
421,jU111,9,f,U,,,11,30
422,jU111,12,f,U,,,10,0
423,jU111,15,f,U,,,15,60
425,jU112,6,m,U,1,1,12,50
426,jU112,9,m,U,,,10,#N/A
427,jU112,12,m,U,,,10,50
428,jU113,3,f,U,,,10,10
429,jU113,6,f,U,1,1,13,0
430,jU113,9,f,U,,,23,50
431,jU113,12,f,U,,,12,80
432,jU113,15,f,U,,,13,70
433,jU113,18,f,U,,,18,60
434,jU114,3,m,U,,,20,30
435,jU114,6,m,U,,,14,30
436,jU114,9,m,U,1,1,22,70
437,jU114,12,m,U,,,15,20
438,jU114,15,m,U,,,18,40
439,jU114,18,m,U,,,38,0
440,jU115,6,f,U,,,27,70
441,jU115,9,f,U,,,14,40
442,jU115,12,f,U,1,1,13,0
443,jU116,6,m,U,,,14,0
444,jU116,9,m,U,1,1,11,0
445,jU116,12,m,U,,,16,0
446,jU117,6,m,U,,,13,10
447,jU117,12,m,U,1,1,10,0
448,jU118,3,m,U,,,20,60
449,jU118,6,m,U,,,10,50
450,jU118,9,m,U,,,27,40
451,jU118,12,m,U,,,11,40
452,jU118,15,m,U,,,19,60
453,jU118,18,m,U,1,1,23,40
454,jU119,3,f,U,,,11,20
455,jU119,6,f,U,,,36,60
456,jU119,9,f,U,,,18,50
457,jU119,12,f,U,,,14,60
458,jU119,15,f,U,1,1,12,50
459,jU119,18,f,U,,,29,60
461,jU120,12,f,U,,,#N/A,100
460,jU120,6,f,U,1,1,10,60
462,jU121,6,f,U,,,10,50
463,jU121,9,f,U,1,1,23,20
464,jU121,12,f,U,,,10,20
465,jU122,3,m,U,,,18,70
466,jU122,6,m,U,,,17,40
467,jU122,9,m,U,1,1,32,80
468,jU122,12,m,U,,,16,30
469,jU122,15,m,U,,,24,60
470,jU122,18,m,U,,,15,30
471,jU123,3,m,U,,,10,40
472,jU123,6,m,U,,,18,80
473,jU123,9,m,U,1,1,25,50
474,jU123,12,m,U,,,26,10
475,jU123,15,m,U,,,30,40
476,jU123,18,m,U,,,20,30
477,jU124,3,f,U,,,#N/A,0
478,jU124,6,f,U,1,1,27,30
479,jU124,9,f,U,,,10,20
480,jU124,12,f,U,,,10,50
485,jU125,15,m,U,,,#N/A,40
481,jU125,3,m,U,,,20,50
482,jU125,6,m,U,,,19,40
483,jU125,9,m,U,,,16,100
484,jU125,12,m,U,1,1,17,80
486,jU126,3,m,U,,,23,40
487,jU126,6,m,U,,,20,60
488,jU126,9,m,U,1,1,12,50
489,jU126,12,m,U,,,20,10
490,jU127,3,f,U,1,1,10,20
491,jU127,6,f,U,,,10,50
492,jU127,9,f,U,,,14,50
493,jU127,12,f,U,,,13,60
494,jU127,15,f,U,,,21,30
495,jU127,18,f,U,,,10,50
496,jU128,6,f,U,1,1,18,70
497,jU128,9,f,U,,,11,#N/A
498,jU128,12,f,U,,,13,0
500,jU129,9,f,U,,,#N/A,0
499,jU129,6,f,U,,,16,50
501,jU129,12,f,U,1,1,10,40
503,jU130,12,f,U,,,#N/A,50
502,jU130,6,f,U,1,1,10,30
504,jU131,3,m,U,,,#N/A,0
505,jU131,6,m,U,,,19,60
506,jU131,9,m,U,,,10,60
507,jU131,12,m,U,1,1,10,60
508,jU132,3,m,U,,,11,50
509,jU132,6,m,U,,,18,40
510,jU132,9,m,U,,,10,40
511,jU132,12,m,U,,,23,60
512,jU132,15,m,U,,,22,80
513,jU132,18,m,U,1,1,40,40
